nct_id,brief_title,official_title,overall_status,phases,conditions,enrollment_count,sponsor_name,sponsor_class,eligibility_criteria,min_age,max_age,sex,tumor_types_matched,us_site_count
NCT02596490,Couple-Based Meditation for Metastatic Lung Cancer Patients and Their Partners,Couple-Based Meditation for Metastatic Lung Cancer Patients and Their Partners,RECRUITING,NA,Lung Cancer,300,M.D. Anderson Cancer Center,OTHER,"Inclusion Criteria:

1. ALL PHASES, PATIENTS ONLY: Diagnosed with stage IV Non-Small Cell Lung Cancer (NSCLC)
2. ALL PHASES, PATIENTS ONLY: Currently receiving treatment (e.g. radiotherapy, chemotherapy) at MD Anderson Cancer Center
3. ALL PHASES, PATIENTS ONLY: Eastern Cooperative Oncology Group (ECOG) performance status of less than or equal to 2
4. ALL PHASES, PATIENTS ONLY: Have a romantic partner with whom they have resided for a minimum of 6 months
5. ALL PHASES, PATIENTS AND PARTNERS: Must be at least 18 years old
6. ALL PHASES, PATIENTS AND PARTNERS: Able to read and speak English
7. ALL PHASES, PATIENTS AND PARTNERS: Able to provide consent.

Exclusion Criteria:

1. ALL PHASES, PATIENTS AND PARTNERS: Not oriented to time, place, or person as deemed by the clinical team
2. ALL PHASES, PATIENTS AND PARTNERS: Regular (self-defined) participation in psychotherapy or a formal cancer support group
3. ALL PHASES, PATIENTS AND PARTNERS: Prior enrollment in a couple-based mind-body intervention research study (protocols 2011-1179, 2013-0496, 2014-0036) conducted by the principal investigator including phase 1 or phase 2 of the current study.",18 Years,,ALL,nsclc,2
NCT02610413,Whole Exome Sequencing in Finding Causative Variants in Germline DNA Samples From Patients With Hypertension Receiving Bevacizumab for Breast Cancer,Exploratory Next Generation Sequencing to Identify Causative Variants for Bevacizumab-Induced Hypertension From Breast Cancer Study E5103 Germline DNA Samples,RECRUITING,,Breast Carcinoma,354,National Cancer Institute (NCI),NIH,"Inclusion Criteria:

* European American patients with deoxyribonucleic acid (DNA) available and designated case or control
* Patients who developed grade 3-4 bevacizumab-induced hypertension during their treatment with bevacizumab
* Patients who did not develop hypertension following a full course of treatment with bevacizumab",,,ALL,breast,1
NCT02610426,Whole Exome Sequencing in Finding Causative Variants in Germline DNA Samples From Patients With Congestive Heart Failure Receiving Therapy for Breast Cancer,Exploratory Next Generation Sequencing to Identify Causative Variants for Therapy-Induced Congestive Heart Failure From Breast Cancer Study E5103 Germline DNA Samples,RECRUITING,,Breast Carcinoma,162,National Cancer Institute (NCI),NIH,"Inclusion Criteria:

* European American patients with DNA available
* European American patients who developed CHF and patients who did not develop CHF following a full course of treatment with an anthracycline and bevacizumab
* African American cases (based on a drop in left ventricular ejection fraction \[LVEF\] \< 50 or a drop from baseline \> 20 points) and African American controls",,,ALL,breast,1
NCT02610439,Whole Exome Sequencing in Finding Causative Variants in Germline DNA Samples From Patients With Peripheral Neuropathy Receiving Paclitaxel for Breast Cancer,Exploratory Next Generation Sequencing to Identify Causative Variants for Taxane-Induced Peripheral Neuropathy From Breast Cancer Study E5103 Germline DNA Samples,RECRUITING,,Breast Carcinoma|Neuropathy,575,National Cancer Institute (NCI),NIH,"Inclusion Criteria:

* European American patients with DNA available and designated case or control
* African American patients with DNA available and designated case or control status
* Patients who developed grade 2-4 for African American (AA) and grade 3-4 for European American (EA) peripheral neuropathy during their treatment with paclitaxel and who did not develop peripheral neuropathy following a full course of treatment with paclitaxel",,,ALL,breast,1
NCT02620852,Women Informed to Screen Depending on Measures of Risk (Wisdom Study),Enabling a Paradigm Shift: A Preference-Tolerant RCT of Personalized vs. Annual Screening for Breast Cancer (Wisdom Study),RECRUITING,NA,Breast Cancer Screening|Breast Carcinoma in Situ|Breast Cancer,100000,"University of California, San Francisco",OTHER,"Inclusion Criteria:

1. Female\*
2. Age 30 years to 74 years old\*\*
3. Reside in the United States\*\*\*

NOTE\*: As of 2019, we are now enrolling all persons who identify as female, and will capture both their sex at birth and gender identity in the baseline survey.

NOTE\*\*: Eligibility from 2016 - October 2023 included ages 40-74 (WISDOM 1.0) and expanded to age 30 in October 2023 (WISDOM 2.0).

NOTE\*\*\*: As of 2019, recruitment is available nationwide. Original eligibility was limited to California, North Dakota, South Dakota, Iowa, Minnesota, Alabama, Louisiana, Illinois OR have coverage from a participating health plan.

Exclusion Criteria:

1. Prior Breast cancer or ductal carcinoma in situ (DCIS) diagnosis
2. Prior prophylactic bilateral mastectomy
3. Inability to provide consent
4. Non-English or Spanish proficiency (Spanish participation available: June 2019)",30 Years,74 Years,FEMALE,breast,11
NCT02682667,Biospecimen Procurement for Center for Immuno-Oncology Immunotherapy Protocols,Biospecimen Procurement for Center for Immuno-Oncology Immunotherapy Protocols,RECRUITING,,"Multiple Myeloma|Lymphoma, Non-Hodgkin|Leukemia-Lymphoma, Adult T-Cell|Hodgkin Disease|Non-Small Cell Lung Cancer",500,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:

  1. Diagnosis of cancer, a premalignant/neoplastic condition or disease (such as an immunodeficiency) that increases the risk of being diagnosed with a cancer or premalignant/neoplastic condition
  2. Age \>=18 years of age
  3. ECOG performance status of 0-3.

  5\. Ability and willingness of subject to provide informed consent

Additional inclusion criteria pertinent only for participants undergoing apheresis

1. Hemoglobin \>= 8 mg/dL and platelet count \> 75 K/microL
2. Weight \>= 48 kg
3. Central line in place or adequate venous access

EXCLUSION CRITERIA:

1. Active concomitant medical or psychological illnesses that may increase the risk to the subject.
2. Inability to provide informed consent
3. Pregnant or breastfeeding women",18 Years,120 Years,ALL,nsclc,1
NCT02706561,Helping Men Adhere to Sexual Rehabilitation Following Prostate Cancer Surgery,Helping Men Adhere to Sexual Rehabilitation Following Prostate Cancer Surgery,RECRUITING,NA,Prostate Cancer|Erectile Dysfunction,224,Memorial Sloan Kettering Cancer Center,OTHER,"Inclusion Criteria:

* As per medical record, early stage prostate cancer (Pathologic Stage 1/2 with Gleason score \</=8; or Pathologic Stage 3 with Gleason score =/\< 7)
* As per medical record, radical prostatectomy (RP) conducted either at MSKCC or at another institution
* As per medical record, ≤ 9 months post-RP
* As per medical record, moderate erectile functioning pre-surgery (i.e., 15 or greater on the IIEF Erectile Function Domain (EFD) score, or graded their erections as a 1 or 2 on the standard 5 point Urology Erectile Function scale, or have a score of 6 or greater on the 1-10 pre-surgery erectile function scale on the SMRP assessment or have a total score of 15 or greater on items 2-7 on the Prostrate Quality of Life Survey: Sexual Domain)
* As per self report or as per medical record starting penile injections as part of the erectile rehabilitation program at MSKCC
* In the judgment of the consenting professional able to communicate, comprehend, and complete questionnaires in English

Exclusion Criteria:

* Both cavernous nerves fully resected as per surgery report (nerve sparing score of 8 in MSKCC surgeon note), or documented in the progress note that the nerves were fully resected.
* Currently on or has a history of being an Androgen Deprivation Therapy (ADT)
* Has any indication of Prostate-Specific Antigen (PSA)
* As per self report, specific injection phobia
* In the judgment of the consenting professional is unable to provide informed consent and complete study sessions and assessment.
* As per self report or as documented in the medical record, current untreated (e.g. no medication no therapy) major psychiatric disorder (schizophrenia, major depression). Patients diagnosed with a major psychiatric disorder will be reviewed by the study PI to determine eligibility prior to consent.",21 Years,,MALE,prostate,1
NCT02732171,PENN-Surveillance Markers of Utility for Recurrence After (Neo)Adjuvant Therapy for Breast Cancer,PENN-Surveillance Markers of Utility for Recurrence After (Neo)Adjuvant Therapy for Breast Cancer,RECRUITING,NA,Breast Cancer,600,Abramson Cancer Center at Penn Medicine,OTHER,"Inclusion Criteria:

* Histologically-confirmed primary invasive breast cancer within 5 years of study entry
* Qualifying risk status, at diagnosis utilizing receptor testing by ASCO/CAP guidelines, meeting at least one of the following:

  * Pathologically-confirmed invasive breast cancer in axillary lymph nodes, regardless of receptors
  * Primary tumor with triple negative subtype: estrogen receptor (ER) \< 10%, progesterone receptor (PR) \< 10% and negative Her2-overexpression by ASCO-CAP guidelines
  * Primary tumor that is ER+/Her2 negative/Lymph node negative with a Breast Cancer Recurrence Score of ≥ 25 per the Genomic Health Oncotype DX breast cancer test and/or HighRisk MammaPrint
  * Evidence of residual disease in the breast on pathologic assessment after neoadjuvant chemotherapy
* Completed all primary therapy (surgery, (neo)adjuvant chemotherapy, adjuvant radiation, and/or Her2-directed therapy) for the index malignancy at least 4 weeks prior to study entry. Concurrent receipt of adjuvant endocrine therapy and bone modifying agents is allowed per standard of care. However, tamoxifen is not allowed on recurrence prevention trials that use Hydroxychloroquine. Patients on tamoxifen may still be enrolled on Penn-Surmount as long as the treating physician is aware and tamoxifen can be stopped if patient is DTC positive.
* No evidence of local or distant recurrent disease by physical examination, blood tests (CBC, LFTs, Alk Phos), or symptom-directed imaging, per NCCN guidelines.
* Adequate bone marrow function as shown by: ANC \>/= 1.5x10\^9/L, Platelets \>/= 100x10\^9/L, Hb \> 9 g/dL
* Adequate liver function as shown by: Serum bilirubin \</= 1.5 x ULN, ALT and AST \</= 2.5 x ULN, and INR \</= 1.5
* Normal coagulation studies: PT and PTT ≤ 1.5 x upper limit of normal per institutional laboratory range
* Anti-coagulation is allowed if target INR \</= 1.5 on a stable dose of warfarin or on a stable dose of anticoagulant for \>2 weeks at time of enrollment. For patients on therapeutic anti-coagulants, medication must be clinically held peri-procedure (bone marrow aspirate) per standard clinical management.
* Adequate renal function: serum creatinine \</= 1.5 x ULN
* Willing to undergo bone marrow aspiration and blood specimen collection per protocol specifications
* Age 18 or over and able to give informed consent

Exclusion Criteria:

* Concurrent enrollment on another investigational therapy
* Patients receiving chronic, high dose systemic treatment with corticosteroids defined as: chronic use of cortisone \>50mg; hydrocortisone \>40mg, prednisone \>10mg, methylprednisone \>8mg or dexamethasone \>1.5mg; or another immunosuppressive agent. Topical or inhaled corticosteroids are allowed.
* EKG demonstrating QTC \> 480 ms
* Patients who have any severe and/or uncontrolled medical conditions or other conditions that could affect their participation in the study such as:

  * History or evidence of increased cardiovascular risk including any of the following: (i) current clinically significant uncontrolled arrhythmias. Exception: Subjects with controlled atrial fibrillation, (ii) History of acute coronary syndromes (including myocardial infarction and unstable angina, coronary angioplasty, or stenting within 6 months prior to enrollment, (iii) Current \>/= Class II congestive heart failure as defined by New York Heart Association
  * History of pneumonitis/interstitial lung disease or severely impaired lung function with a previously documented spirometry and DLCO that is 50% of the normal predicted value and/or 02 saturation that is 88% or less at rest on room air
  * Uncontrolled diabetes
  * Active (acute or chronic) or uncontrolled severe infections
  * Liver disease such as cirrhosis, chronic active hepatitis or chronic persistent hepatitis
  * A known history of HIV seropositivity as reported by the patient
  * History of major surgical resection involving the stomach or small bowel, or pre-existing impairment of gastrointestinal function or gastrointestinal disease (e.g., ulcerative disease, Crohn's disease, uncontrolled nausea, vomiting, diarrhea, malabsorption syndrome or small bowel resection)
  * Patients with an active, bleeding diathesis
  * History of retinopathy or retinal vein occlusion
* Female patients who are pregnant or breast feeding. Women of childbearing potential must have a negative urine or serum pregnancy test.
* Patients who have received prior treatment with a CDK4/6 inhibitor
* Patients with a known hypersensitivity to Hydroxychloroquine or any of its derivatives
* Patients with prior hydroxychloroquine exposure for a duration of \> 1 month since the completion of the patient's primary therapy (definitive surgery, (neo)adjuvant chemotherapy, adjuvant radiation, and/or Her2-directed therapy) for the index malignancy
* Patients who have initiated bone modifying agents within 3 months prior to study enrollment
* A detailed assessment of Hepatitis B/C medical history and risk factors must be done at screening for all patients. HBV DNA and HCV RNA PCR testing are required at screening for all patients with a positive medical history based on risk factors and/or confirmation of prior HBV/HCV infection.",18 Years,,ALL,breast,1
NCT02743858,Lymphedema Surveillance Study,A Prospective Surveillance Program for Assessment and Treatment of Breast Cancer-Related Lymphedema After Axillary Lymph Node Dissection,RECRUITING,,Breast Cancer|Lymphedema,1250,Memorial Sloan Kettering Cancer Center,OTHER,"Inclusion Criteria:

* Female breast cancer patients over the age of 18
* Patients consenting for unilateral axillary lymph node dissection (ALND) (prior history of sentinel lymph node biopsy allowed if \<6 months from consent)
* Patients consenting for unilateral sentinel lymph node biopsy (SLNB) and possible ALND are eligible for initial entry into the study, but will become ineligible if ALND is not performed
* Initially consented patients, treated with SLNB alone, who were originally considered ineligible to continue on study, will be approached for re-enrollment
* Patients who self-identify as Black or White consenting for unilateral ALND or possible ALND will be approached for enrollment onto translational study (Cohort 3)

Exclusion Criteria:

* Male breast cancer patients
* Patients consenting for bilateral axillary surgery
* Patients with prior history of surgical excision of one or more axillary lymph nodes or SLNB, performed \>6 months from date of consent
* Patients with prior history of ALND
* Patients with no breast surgery performed at MSK",18 Years,,FEMALE,breast,7
NCT02772367,Generation of Heart Muscle Cells From Blood or Skin Cells of Breast Cancer Patients,Generation of Induced Pluripotent Stem Cell Derived Cardiomyocytes From Patients Exposed to Trastuzumab Therapy for Breast Cancer,RECRUITING,,Breast Cancer,120,Memorial Sloan Kettering Cancer Center,OTHER,"Inclusion Criteria:

* Female
* Age greater than 18 years
* Willing to participate in protocol procedures with signed informed consent
* Assessment of LVEE via echocardiogram, cardiac MRI, or MUGA

Subjects in the cardiotoxicity group (TOX) must meet the following criteria:

* History of HER2 positive breast cancer (stage I-IV)
* Prior/current treatment with anthracycline based chemotherapy followed by anti-HER2 directed therapy or anti-HER2 directed therapy alone
* Assessment of LVEF at baseline prior to initiation of anthracycline or anti-HER2 therapy and during anti-HER2 therapy via echocardiogram, cardiac MRI, or MUGA
* Prior confirmed diagnosis of cardiotoxicity associated with anti-HER2 based therapy, defined as a decrease in LVEF \> 10% from baseline to \< 53% with symptoms of heart failure (NYHA class II-IV).

Subjects in the no cardiotoxicity group (NO-TOX) must meet the following criteria:

* History of HER2 positive breast cancer (stage I-IV)
* Completion of planned anthracycline and anti-HER2 therapy, or anti-HER2 therapy alone
* No symptoms of heart failure (NYHA class II-IV) during and at the end of anthracycline and anti-HER2 therapy
* Assessment of LVEF at baseline prior to innitiation of anthracycline or anti-HER2 therapy and during anti-HER2 therapy via echocardiogram, cardiac MRI, or MUGA
* Normal LVEF \>53% at each assessment during and at the end of trastuzumab therapy.
* Maximum absolute decrease in LVEF \<5% from baseline during and at the end of trastuzumab therapy.
* LVEF assessment performed at baseline and at least two time points during trastuzumab therapy.

Exclusion Criteria:

* Unwilling or unable to give skin biopsies
* Contraindications to punch biopsy including but not limited to bleeding diathesis, as determined by the investigator.
* Known pre-existing CV disease prior to initiation of breast cancer therapy as determined by the investigator, including

  * Obstructive coronary artery disease (stenosis \>70%)
  * Arrhythmia - paroxysmal or persistent atrial arrhythmias, sustained ventricular tachycardia (\>30 seconds), ventricular fibrillation, or cardiac arrest
  * Cardiomyopathy (EF \<53%)
  * Heart failure (NYHA class II-IV)
  * Valvular heart disease with equal to or greater than moderate stenosis or regurgitation",18 Years,,FEMALE,breast,1
NCT02775461,Pancreas Registry and High Risk Registry,Pancreas Disease and High Risk Registry,RECRUITING,,Pancreas Cancer|Pancreatitis|Chronic Pancreatitis|Pancreatic Cyst|Family History of Pancreas Cancer|Genetic Mutations,1368,Icahn School of Medicine at Mount Sinai,OTHER,"Inclusion Criteria:

* At least 1 first degree relative affected with Pancreatic Cancer
* Any of (BRCA1, BRCA2, PALB2, ATM) mutations + 1 family member with Pancreatic Cancer
* mFAMMM (p16,CDKN2A mutations) + 1 family member with Pancreatic cancer
* Known mutation carrier for STK11 (Peutz Jeghers Syndrome)
* Lynch syndrome (HNPCC) + 1 family PDAC
* Known mutation carrier for Hereditary pancreatitis
* Individuals with a history of pancreatic cyst(s) (IPMN's) that measure ≥ 1 cm

Exclusion Criteria:

* Patients who do not speak English or Spanish
* Refusal by patient
* Individuals under the age of 18 years",18 Years,,ALL,colorectal,2
NCT02830724,Administering Peripheral Blood Lymphocytes Transduced With a CD70-Binding Chimeric Antigen Receptor to People With CD70 Expressing Cancers,A Phase I/II Study Administering Peripheral Blood Lymphocytes Transduced With a CD70-Binding Chimeric Antigen Receptor to Patients With CD70-Expressing Cancers,RECRUITING,PHASE1|PHASE2,Pancreatic Cancer|Renal Cell Cancer|Breast Cancer|Melanoma|Ovarian Cancer,124,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:
* For Phase I: Evaluable, unresectable cancer expressing CD70 as assessed by immunohistochemistry of resected tissue (greater than or equal to 2+ CD70 positive on greater than or equal to 50% of cancer cells, or greater than or equal to 1+ CD70 positive on greater than or equal to 75% of cancer cells).
* For Phase II: Measurable (per RECIST v1.1 criteria), unresectable cancer expressing CD70 as assessed by immunohistochemistry of resected tissue (greater than or equal to 2+ CD70 positive on greater than or equal to 50% of cancer cells, or greater than or equal to 1+ CD70 positive on greater than or equal to 75% of cancer cells).
* Confirmation of the diagnosis of cancer by the NCI Laboratory of Pathology.
* Patients must have previously received at least one standard therapy for their cancer (if available) and have been either non-responders (progressive disease) or have recurred.
* Patients with 3 or fewer brain metastases that are less than or equal to 1 cm in diameter and asymptomatic are eligible. Lesions that have been treated with stereotactic radiosurgery must be clinically stable for 1 month after treatment for the patient to be eligible. Patients with surgically resected brain metastases are eligible.
* Age greater than or equal to 18 years and less than or equal to 72 years.
* Clinical performance status of ECOG 0 or 1
* Patients of both sexes must be willing to practice birth control from the time of enrollment on this study and for 12 months after the last dose of combined chemotherapy for women and for four months after treatment for men.
* Women of child-bearing potential must be willing to undergo a pregnancy test prior to the start of treatment because of the potentially dangerous effects of the treatment on the fetus.

NOTE: Certain malignancies may secrete hormones that produce false positive pregnancy tests. Serial blood testing (e.g. HCG measurements) and/ or ultrasound may be performed for clarification.

-Serology

--Seronegative for HIV antibody. (The experimental treatment being evaluated in this protocol depends on an intact immune system. Patients who are HIV seropositive may have decreased immune-competence and thus be less responsive to the experimental

treatment and more susceptible to its toxicities.)

* Seronegative for hepatitis B antigen, and seronegative for hepatitis C antibody. If hepatitis C antibody test is positive, then patient must be tested for the presence of antigen by RT-PCR and be HCV RNA negative.

  -Hematology
* ANC greater than 1000/mm(3) without the support of filgrastim
* WBC greater than or equal to 2500/mm(3)
* Platelet count greater than or equal to 80,000/mm(3)
* Hemoglobin \> 8.0 g/dL. Subjects may be transfused to reach this cut-off.

  -Chemistry
* Serum ALT/AST less than or equal to 5.0 times ULN
* Serum creatinine less than or equal to 1.6 mg/dL
* Total bilirubin less than or equal to 2.0 mg/dL, except in patients with Gilbert s Syndrome who must have a total bilirubin less than 3.0 mg/dL.

  * Patients must have completed any prior systemic therapy at the time of enrollment.

Note: Patients may have undergone minor surgical procedures or limited field radiotherapy within the four weeks prior to enrollment, as long as related major organ toxicities have recovered to grade 1 or less.

* Ability of subject to understand and the willingness to sign a written informed consent document.
* Willing to sign a durable power of attorney.
* Subjects must be co-enrolled on the NCI-SB cell harvest protocol 03-C-0277 (Cell Harvest and Preparation for Surgery Branch Adoptive Cell Therapy Protocols).

EXCLUSION CRITERIA:

* Women of child-bearing potential who are pregnant or breastfeeding because of the potentially dangerous effects of the treatment on the fetus or infant.
* Concurrent systemic steroid therapy.
* Active systemic infections requiring anti-infective treatment, coagulation disorders, or any other active or uncompensated major medical illnesses.
* Any form of primary immunodeficiency (such as Severe Combined Immunodeficiency Disease).
* History of hematopoietic autoimmune disease or any autoimmune disease requiring immunosuppressive measures.
* Concurrent opportunistic infections (The experimental treatment being evaluated in this protocol depends on an intact immune system. Patients who have decreased immune-competence may be less responsive to the experimental treatment and more susceptible to its toxicities).
* History of severe immediate hypersensitivity reaction to cyclophosphamide, fludarabine, or aldesleukin.
* History of coronary revascularization or ischemic symptoms.
* For select patients with a clinical history prompting cardiac evaluation: last known LVEF less than or equal to 45%.
* For select patients with a clinical history prompting pulmonary evaluation: known FEV1 less than or equal to 50% predicted.
* Patients who are receiving any other investigational agents.",18 Years,72 Years,ALL,breast,1
NCT02838836,"Tumor Cell and DNA Detection in the Blood, Urine and Bone Marrow of Patients With Solid Cancers","Tumor Cell and DNA Detection in the Blood, Urine and Bone Marrow of Patients With Solid Cancers",RECRUITING,,Non-small Cell Lung Cancer|Esophageal Cancer|Gastric Cancer|Pancreatic Cancer|Hepatocellular Cancer|Colorectal Cancer,620,University of Missouri-Columbia,OTHER,"Inclusion Criteria:

* Subjects older than 18 years.
* Subjects of all genders and ethnicities.
* Subjects with the diagnosis of a solid cancer (n=100) of all stages will be included (lung, esophageal, stomach, bile duct/pancreas, colorectal, melanoma, sarcoma).
* Ten patients with no present suspicion and no previous history of any cancer (except basal cell cancer of the skin) that undergo surgeries for other benign indications will serve as controls (n=20).
* In patients undergoing surgery for cancer the histopathology should preferably be pathologically proven by a previous or novel biopsy. Yet, patients with a high cancer suspicion by radiology and clinical picture that undergo cancer surgery will not be excluded. No additional biopsies, testing or interventions will be performed for the purpose of this study if the medical treatment will not require it.
* Subjects must be capable of giving informed consent.

Exclusion Criteria:

* Pregnant women.
* Subjects with the concurrent diagnosis of an active secondary (synchronous) malignancy besides basal cell carcinoma of the skin will be excluded, if there is evidence of disease burden or if the patient is currently being treated with chemotherapy.
* Subjects with a hemoglobin of \<8g/dl in the morning of the procedure will be excluded.
* In subjects who require intraoperative transfusions of \>4 units of red packed blood cells (RPBCs), no further blood will be drawn for CTC/DTC/cfDNA analysis during surgery or on postoperative day 1.
* In patients with coagulation disorders that could lead to significant bleeding (such as hemophilia, significant thrombocytopenia) requiring prophylactic administration of coagulative products, no bone marrow aspiration will be performed.",18 Years,,ALL,colorectal|nsclc,1
NCT02863172,Molecular Basis for Variations in Hereditary Colorectal Cancer Syndromes,Molecular Basis for Variations in Hereditary Colorectal Cancer Syndromes,RECRUITING,,Hereditary Colorectal Cancer Syndrome,2000,M.D. Anderson Cancer Center,OTHER,"Inclusion Criteria:

Probands who meet the following criteria will be eligible:

1. Patient must have or is suspected to have a hereditary CRC syndrome
2. Patient must be at least 18 years of age at the time of study registration.
3. Patient must have sufficient command of the English language and mental capacity to provide consent

Family members who meet the following criteria will be eligible:

1. First- or second-degree relative of a registered MDACC patient who has met eligibility criteria for a Proband as defined above.
2. Family member must be at least 18 years of age at the time of study registration.
3. Family member must have sufficient command of the English language and mental capacity to provide consent

Exclusion Criteria:

N/A",18 Years,,ALL,colorectal,1
NCT02871726,Transrectal Ultrasound Robot-Assisted Prostate Biopsy,Transrectal Ultrasound Robot-Assisted Prostate Biopsy,RECRUITING,NA,Prostate Cancer,483,Johns Hopkins University,OTHER,"Inclusion Criteria:

* Scheduled for an initial diagnostic biopsy
* Elevated serum PSA (prostate specific antigen\> 4 ng/ml) and/or abnormal digital rectal exam

Exclusion Criteria:

* Clinical diagnosis of prostate cancer
* Prior prostate biopsy
* Anal stenosis that prevents TRUS probe insertion
* Inadequate bowel prep
* Unwilling or unable to sign the informed consent",45 Years,75 Years,MALE,prostate,1
